title,runtime,audience_score,movie_score,tomatometer_count,user_rating_count,genre_Action,genre_Adventure,genre_Comedy,genre_Fantasy,genre_Horror,genre_Romance,genre_Sci-fi,genre_Special Interest,genre_Western,genre_FamilyKids,genre_AnimationManga,genre_FitnessSports,genre_DramaTele,genre_MusicalPerfarts,genre_ClassicsCult,genre_ArthouseInter,genre_ThrillMysSusp,genre_HistDocument,G,NC17,NR,PG,PG-13,R,ss_mean,ss_median,ss_p25,ss_p75,ss_std,ss_count,domestic_gross,domestic_opening,foreign_gross,markets,total_gross,markets_missing,audience_score_positive,movie_score_positive
Corporate Animals,85.0,15.0,28,47,17.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.44680851063829785,0.0,0.0,1.0,0.5025375018797699,47.0,0.0,0.0,13553.0,,13553.0,1.0,False,False
Yesterday,112.0,89.0,62,330,14660.0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7181818181818181,1.0,0.0,1.0,0.4505683985093561,330.0,73286650.0,17010050.0,76400000.0,64.0,149686650.0,0.0,True,False
Depraved,115.0,50.0,87,52,24.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.8653846153846154,1.0,1.0,1.0,0.3446422500840349,52.0,0.0,0.0,0.0,,0.0,1.0,False,True
Anna,118.0,81.0,36,67,2224.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6119402985074627,1.0,0.0,1.0,0.4909861406609373,67.0,7743794.0,3600647.0,23175355.0,66.0,30919149.0,0.0,True,False
Auggie,81.0,,86,14,,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.7857142857142857,1.0,1.0,1.0,0.42581531362631997,14.0,,,,,,,False,True
Between Two Ferns: The Movie,82.0,,76,54,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6481481481481481,1.0,0.0,1.0,0.4820321529793836,54.0,,,,,,,False,True
Scarborough,87.0,,56,9,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.7777777777777778,1.0,1.0,1.0,0.4409585518440984,9.0,,,,,,,False,False
Riot Girls,82.0,42.0,89,19,12.0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.8947368421052632,1.0,1.0,1.0,0.3153017676423057,19.0,,,,,,,False,True
Haunt,92.0,100.0,67,36,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.6666666666666666,1.0,0.0,1.0,0.4780914437337575,36.0,0.0,0.0,825429.0,,825429.0,1.0,True,False
Bloodline,98.0,68.0,50,16,50.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.625,1.0,0.0,1.0,0.5,16.0,13583690.0,5742431.0,0.0,,13583690.0,1.0,True,False
Running with the Devil,100.0,52.0,22,23,42.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.3478260869565217,0.0,0.0,1.0,0.486984753557674,23.0,0.0,0.0,79906.0,,79906.0,1.0,False,False
Can You Keep a Secret?,95.0,47.0,30,10,64.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6,1.0,0.0,1.0,0.5163977794943222,10.0,0.0,0.0,889654.0,,889654.0,1.0,False,False
"Leaving Home, Coming Home: A Portrait of Robert Frank",86.0,,89,9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.8888888888888888,1.0,1.0,1.0,0.3333333333333333,9.0,27073.0,4248.0,0.0,,27073.0,1.0,False,True
Dark Phoenix,,64.0,23,350,15443.0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5371428571428571,1.0,0.0,1.0,0.4993323417887962,350.0,65845974.0,32828348.0,186597000.0,55.0,252442974.0,0.0,True,False
The Last Photograph,85.0,,71,7,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0.7142857142857143,1.0,0.5,1.0,0.4879500364742666,7.0,,,,,,,False,True
Aladdin,128.0,94.0,57,352,59020.0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6818181818181818,1.0,0.0,1.0,0.4664335081876274,352.0,355559216.0,91500929.0,695134737.0,56.0,1050693953.0,0.0,True,False
John Wick: Chapter 3 - Parabellum,131.0,87.0,90,321,36651.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.8006230529595015,1.0,1.0,1.0,0.40015573292394585,321.0,171015687.0,56818067.0,155299049.0,74.0,326314736.0,0.0,True,True
Shaft,119.0,94.0,32,119,7725.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5966386554621849,1.0,0.0,1.0,0.4926463945047359,119.0,21360215.0,8901419.0,0.0,,21360215.0,1.0,True,False
Being Frank,110.0,74.0,32,38,46.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5526315789473685,1.0,0.0,1.0,0.5038966228735666,38.0,67343.0,16392.0,0.0,,67343.0,1.0,True,False
